id,level,jobs
"43",2,1030891
"43",3,1066292
"44",1,781811
"44",2,1033361
"44",3,1070185
"45",1,793157
"54",1,812209
"45",2,1019865
"45",3,1063165
"46",1,862616
"46",2,1044427
"46",3,1074203
"47",1,887740
"47",2,1022248
"47",3,1043423
"48",1,749024
"48",2,949569
"48",3,971111
"49",1,796274
"49",2,1063057
"49",3,1087671
"54",2,944700
"54",3,961873
"55",1,911133
"55",2,1011454
"55",3,1062104
"56",1,905077
"56",2,1004061
"56",3,1042637
"57",1,874575
"57",2,993622
"57",3,1009018
"58",1,850291
"58",2,966349
"58",3,993807
"59",1,843411
"59",2,927320
"59",3,966023
"60",1,887599
"60",2,989100
"60",3,1014243
"61",1,884157
"61",2,950773
"61",3,982886
"62",1,867208
"62",2,923200
"62",3,942458
"63",1,700557
"63",2,801758
"63",3,887440
"64",1,642753
"64",2,812941
"64",3,873536
"65",1,804384
"65",2,935307
"65",3,958817
"66",1,800858
"66",2,915139
"66",3,945804
"67",1,792935
"67",2,903920
"67",3,945721
"118",1,121682
"118",2,137537
"118",3,154386
"119",1,115508
"119",2,130670
"119",3,143640
"120",1,101710
"120",2,126616
"120",3,143784
"121",1,118356
"121",2,147072
"121",3,167219
"122",1,115880
"122",2,244490
"122",3,260553
"123",1,122680
"123",2,145663
"123",3,169393
"124",1,114376
"124",2,152598
"124",3,173784
"125",1,121785
"125",2,136466
"125",3,154235
"128",1,107168
"128",2,146549
"128",3,172096
"129",1,114197
"129",2,250142
"129",3,258874
"68",1,790889
"68",2,900706
"84",3,873489
"68",3,932925
"69",1,750053
"69",2,852430
"69",3,900977
"71",1,780083
"71",2,890039
"71",3,913777
"72",1,746438
"77",3,764595
"72",2,833045
"72",3,910480
"73",1,722983
"73",2,890274
"73",3,933866
"74",1,691068
"74",2,823095
"74",3,893592
"75",1,637599
"75",2,772853
"75",3,803194
"76",1,599390
"76",2,748039
"76",3,772341
"77",1,616551
"77",2,754655
"78",1,561780
"78",2,746121
"78",3,774702
"79",1,518698
"79",2,705018
"79",3,726996
"84",1,704701
"84",2,820657
"85",1,766621
"85",2,906765
"85",3,930132
"86",1,762320
"86",2,881499
"86",3,908843
"87",1,642430
"87",2,891342
"93",1,43517
"87",3,909263
"88",1,447720
"88",2,757347
"88",3,811351
"89",1,326260
"89",2,447273
"89",3,520739
"93",2,47580
"90",1,302080
"90",2,431203
"90",3,438327
"91",1,172429
"91",2,283768
"91",3,287602
"92",1,42541
"92",2,46612
"92",3,69586
"93",3,85091
"94",1,45149
"94",2,47808
"94",3,95414
"95",1,62848
"95",2,189899
"95",3,291983
"96",1,45049
"96",2,130112
"96",3,287880
"97",1,188161
"97",2,435181
"97",3,524735
"98",1,67442
"98",2,223198
"98",3,267400
"99",1,14948
"99",2,29157
"99",3,44363
"100",1,16881
"100",2,22169
"100",3,22712
"101",1,158581
"101",2,312411
"101",3,380190
"102",1,409865
"400",1,46883
"102",2,770938
"102",3,905260
"153",1,113962
"153",2,153519
"153",3,196390
"170",1,98490
"170",2,115159
"170",3,123472
"171",1,74311
"171",2,121217
"171",3,131015
"172",1,123389
"172",2,149037
"172",3,167620
"173",1,127159
"173",2,150629
"173",3,180353
"174",1,133202
"174",2,157651
"174",3,195568
"182",1,142678
"175",1,126099
"175",2,151659
"175",3,178740
"176",1,122881
"176",2,149942
"176",3,152678
"177",1,123402
"177",2,147972
"177",3,152719
"178",1,125322
"178",2,155934
"178",3,165489
"179",1,118208
"179",2,130879
"179",3,131712
"180",1,136531
"180",2,204446
"180",3,282032
"181",1,126741
"181",2,184464
"181",3,249872
"182",2,202756
"182",3,292031
"183",1,123455
"183",2,161481
"183",3,244479
"184",1,183914
"184",2,342782
"184",3,355053
"185",1,298952
"196",1,130623
"185",2,640240
"185",3,659001
"186",1,162600
"186",2,286954
"186",3,294694
"187",1,305563
"187",2,670564
"411",2,53285
"187",3,699334
"188",1,541404
"188",2,693657
"188",3,739778
"189",1,226800
"189",2,532451
"189",3,546379
"191",1,334482
"191",2,730218
"191",3,791727
"192",1,294717
"192",2,503252
"192",3,679617
"193",1,127485
"193",2,193427
"400",2,47206
"193",3,267912
"194",1,115107
"194",2,168144
"194",3,215312
"195",1,113979
"195",2,156920
"195",3,195940
"196",2,198784
"196",3,292299
"197",1,127934
"197",2,200740
"197",3,302528
"198",1,122797
"198",2,223290
"220",1,45595
"198",3,282089
"199",1,116743
"199",2,203057
"199",3,277074
"200",1,130810
"200",2,210236
"200",3,327658
"201",1,359955
"215",2,226792
"201",2,658112
"201",3,731153
"202",1,382376
"202",2,738591
"202",3,797653
"203",1,306963
"203",2,548637
"203",3,636094
"204",1,228775
"204",2,318505
"204",3,385000
"207",1,219842
"207",2,391177
"207",3,435568
"220",2,66592
"208",1,249672
"208",2,407312
"208",3,459571
"209",1,424937
"209",2,792316
"209",3,851794
"210",1,185717
"226",2,64906
"210",2,310257
"210",3,347706
"211",1,53867
"211",2,73944
"211",3,75434
"212",1,356626
"212",2,544954
"226",3,72867
"212",3,673341
"213",1,312727
"213",2,520202
"213",3,614255
"214",1,398068
"214",2,556053
"214",3,588339
"215",1,96689
"215",3,233989
"216",1,55106
"216",2,97056
"216",3,132670
"344",1,112234
"344",2,166829
"344",3,204629
"345",1,294910
"345",2,551238
"345",3,619899
"346",1,339987
"346",2,567762
"346",3,612395
"205",1,150194
"257",3,98140
"205",2,334450
"205",3,374945
"206",1,275964
"206",2,420905
"206",3,568299
"253",1,201172
"253",2,385488
"253",3,416726
"254",1,115242
"254",2,236965
"254",3,278199
"255",1,83708
"255",2,105844
"255",3,118786
"257",1,78441
"257",2,90566
"347",1,266424
"347",2,427602
"347",3,525993
"348",1,233021
"348",2,323649
"348",3,363226
"349",1,254968
"349",2,371339
"349",3,428674
"351",1,247258
"351",2,336766
"351",3,432325
"352",1,255193
"352",2,329619
"352",3,376621
"217",1,55973
"217",2,116757
"217",3,139591
"218",1,46782
"218",2,78991
"218",3,115393
"219",1,50283
"219",2,84264
"219",3,111408
"220",3,97625
"221",1,84131
"221",2,169858
"221",3,201234
"222",1,118154
"222",2,241770
"222",3,293361
"223",1,120488
"223",2,256089
"223",3,317175
"224",1,219490
"224",2,446983
"224",3,462228
"225",1,435770
"225",2,633856
"225",3,628834
"226",1,50859
"227",1,45049
"227",2,50469
"227",3,54178
"228",1,33080
"228",2,57264
"228",3,89406
"229",1,31183
"229",2,32713
"229",3,33528
"326",1,86622
"230",1,13266
"230",2,17153
"230",3,19450
"231",1,18835
"231",2,22625
"231",3,24059
"232",1,28171
"232",2,47934
"232",3,69534
"233",1,39089
"233",2,48602
"233",3,68615
"234",1,24595
"234",2,47306
"234",3,58893
"235",1,55024
"235",2,79662
"235",3,97808
"400",3,51299
"236",1,32405
"236",2,75528
"236",3,87468
"237",1,31871
"237",2,82644
"237",3,87468
"238",1,34983
"240",1,59127
"238",2,66834
"238",3,120971
"239",1,45596
"239",2,59627
"239",3,120681
"258",1,65939
"258",2,85281
"240",2,86523
"258",3,96137
"259",1,204904
"259",2,473130
"259",3,523806
"260",1,167743
"260",2,384798
"260",3,418261
"240",3,106044
"241",1,44599
"241",2,53478
"241",3,58953
"242",1,47074
"242",2,65513
"242",3,67823
"243",1,20632
"243",2,21569
"244",1,444212
"244",2,709429
"244",3,752931
"245",1,333441
"245",2,642591
"245",3,669560
"246",1,420601
"246",2,704772
"334",3,237956
"246",3,723696
"247",1,492345
"247",2,722933
"247",3,733782
"248",1,532828
"248",2,734844
"248",3,779440
"249",1,445783
"249",2,709052
"249",3,751251
"250",1,316102
"250",2,642692
"250",3,673177
"251",1,270171
"251",2,536370
"263",1,113792
"251",3,557417
"252",1,155814
"252",2,377539
"252",3,405545
"262",1,120812
"262",2,259262
"262",3,268175
"354",1,74152
"263",2,190095
"263",3,224423
"264",1,110433
"264",2,123115
"264",3,144154
"265",1,69948
"265",2,80523
"269",1,15134
"265",3,95274
"266",1,114033
"266",2,179881
"266",3,216338
"268",1,23156
"268",2,36646
"268",3,67939
"269",2,15905
"269",3,11918
"270",1,40895
"270",2,88017
